Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
Zomato Limited,7/23/21,76,195,9375,,51.79,32.96,7.45,0.62,38.25,115,114,138,125.85,65.59
AA Plus Tradelink Limited,7/22/21,18,8000,6.48,,0,0.32,2.61,,1.46,17.5,17.5,17.5,17.5,-2.78
G R Infraprojects Limited,7/19/21,837,17,963.28,,168.58,238.04,12.57,1.37,102.58,1700,1550,1838.8,1746.8,108.7
Clean Science and Technology Ltd,7/19/21,900,16,1546.62,,156.37,206.43,9,,93.41,1784.4,1555.05,1784.4,1585.2,76.13
Focus Business Solution Limited,7/13/21,19,6000,1.22,,,3.22,10.1,,6.66,29.35,27.9,29.35,27.9,46.84
Walpar Nutritions Limited,7/13/21,55,2000,6.6,,,1.01,17.94,,9.48,59.95,57,62.85,57,3.64
India Pesticides Limited,7/5/21,296,50,800,,42.95,51.88,11.3,,29.04,360,340.15,368,343.15,15.93
Times Green Energy (India) Ltd,6/30/21,61,2000,4.05,,,0.83,5.05,,2.94,61.4,61,64.45,61.6,0.98
Dodla Dairy Limited,6/28/21,428,35,520.18,,84.88,73.26,11.34,,45.62,528,528,633.6,609.1,42.31
Adeshwar Meditex Limited,6/28/21,25,6000,9.75,,,1.5,2.21,,1.85,25.25,25.1,25.5,25.15,0.6
Krishna Institute of Medical Sciences Limited,6/28/21,825,18,2143.74,,5.26,1.89,2.9,1.06,3.86,1008.9,950,1057.95,995.9,20.72
Navoday Enterprises Limited,6/25/21,20,6000,4.61,,,0.29,4.44,,2.36,19.5,18.55,19.5,18.55,-7.25
Shyam Metalics and Energy Limited,6/24/21,306,45,909,,155.71,339.98,11.64,1.55,121.43,367,367,399.1,375.85,22.83
Sona BLW Precision Forgings Limited,6/24/21,291,51,5550,,3.46,0.39,1.58,,2.28,302.4,295.15,362.85,362.85,24.69
Abhishek Integrations Limited,6/21/21,50,3000,4.95,,,0.53,20.47,,10.5,40,38,40,38,-24
POWERGRID Infrastructure Investment Trust,5/14/21,100,1100,7734.99,,4.63,5.07,,,4.83,104,102.84,104.97,102.98,2.98
Kuberan Global Edu Solutions Limited,5/5/21,20,6000,1.12,,,1.41,5.18,,3.3,21,20.2,22.05,22.05,10.25
Jetmall Spices and Masala Limited,4/19/21,20,6000,4.98,,,1.9,0.82,,1.36,20.5,19.5,21,19.5,-2.5
Macrotech Developers Limited,4/19/21,486,30,2500,,3.05,1.44,0.4,0.17,1.36,439,421.15,477.9,463.15,-4.7
Rajeshwari Cans Limited,4/15/21,20,6000,4.03,,,1.6,1.19,,1.4,20.75,20,21,20,0
V-Marc India Limited,4/9/21,39,3000,23.4,,,1.44,1.8,,1.62,46.5,44.2,48.6,47.1,20.77
Barbeque Nation Hospitality Limited,4/7/21,500,30,452.87,,5.11,3.1,13.13,1.02,5.98,492,481.35,590.4,590.4,18.08
EKI Energy Services Limited,4/7/21,102,1200,18.6,,1,10.25,3.13,,4.05,140,140,147,147,44.12
Siddhika Coatings Limited,4/7/21,57,2000,4.7,,,2.33,2.87,,2.6,55,54.15,58,56.95,-0.09
NIKS Technology Limited,3/31/21,201,600,2.01,119.64,,0.99,7.21,,4.1,202.1,202,203,203,1
Nazara Technologies Limited,3/30/21,1101,13,582.91,,103.77,389.89,75.29,7.55,175.46,1971,1576.8,2026.9,1576.8,43.22
Kalyan Jewellers India Limited,3/26/21,87,172,1175,,2.76,1.91,2.82,3.74,2.61,73.9,73,81,75.3,-13.45
Suryoday Small Finance Bank Ltd,3/26/21,305,49,582.34,,2.18,1.31,3.09,0.34,2.37,293,262.05,295.95,276.2,-9.44
Craftsman Automation Limited,3/25/21,1490,10,823.7,,5.21,2.84,3.44,,3.82,1350,1349.2,1489,1433,-3.83
Laxmi Organic Industries Limited,3/25/21,130,115,600,,175.43,217.62,20.1,,106.81,156.2,143,174.5,164.6,26.62
Anupam Rasayan India Limited,3/24/21,555,27,760,,65.74,97.42,10.77,1.71,44.06,534.7,501.15,548.95,525.9,-5.24
Rangoli Tradecomm Limited,3/22/21,207,600,45.15,,,2.28,0.72,,1.5,211,207.5,221.55,220.4,6.47
Knowledge Marine & Engineering Works Limited,3/22/21,37,3000,10.12,,,2.09,3.65,,2.87,38,37.1,38.5,38.25,3.38
Easy Trip Planners Limited,3/19/21,187,80,510,,77.53,382.21,70.4,,159.33,206,187,233.15,208.3,11.39
Ashapuri Gold Ornament Ltd,3/17/21,81,1600,30.02,,,2.07,0.28,,1.17,75,70,81,70.05,-13.52
MTAR Technologies Limited,3/15/21,575,26,596.41,,164.99,650.79,28.4,,200.79,1063.9,1035.7,1154,1082.25,88.22
ADJIA Technologies Limited,3/15/21,74,1600,2,,,0.88,5.15,,6.03,74.5,74,74.65,74.25,0.34
Pavna Industries Limited,3/9/21,165,800,29.7,,,,,,,165.6,165.05,166.5,165.5,0.3
Heranba Industries Limited,3/5/21,627,23,625.24,,67.45,271.15,11.84,,83.29,900,796.35,944.95,812.25,29.55
Party Cruisers Limited,3/5/21,51,2000,7.75,,,,,,,54,51.3,54,51.3,0.59
RailTel Corporation of India Limited,2/26/21,94,155,819.24,,65.14,73.25,16.78,3.35,42.39,104.6,104.6,125.5,121.4,29.15
Nureca Limited,2/25/21,400,35,100,,3.1,31.59,166.65,4.82,39.93,634.95,603.25,666.65,666.65,66.66
MRP Agro Limited,2/18/21,40,3000,3.24,,,2.66,4.17,,3.21,39.75,37.8,39.75,37.8,-5.5
Brookfield India Real Estate Trust,2/16/21,275,200,3800,,4.78,11.52,,,7.94,275.05,258.35,280.05,269.96,-1.83
Stove Kraft Limited,2/5/21,385,38,412.63,,8.02,32.72,26.04,,18.03,467,435.05,495.55,445.95,15.83
Home First Finance Company India Ltd.,2/3/21,518,28,1153.72,,52.53,39,6.59,,26.66,612.15,521.65,639.5,527.4,1.81
Indigo Paints Limited,2/2/21,1490,10,1176,,189.57,263.05,15.93,2.5,117.02,2607.5,2428.2,3129,3118.65,109.31
Indian Railway Finance Corporation Limited,1/29/21,26,575,4633.38,,3.78,2.67,3.66,43.76,3.49,25,24.3,25.8,24.85,-4.42
Antony Waste Handling Cell Limited,1/1/21,315,47,300,,0.64,0.28,7.22,,3.85,430,394.6,492.75,407.25,29.29
Mrs. Bectors Food Specialities Limited,12/24/20,288,50,540.54,,176.85,620.86,29.33,45.46,198.02,501,500,601.2,595.55,106.79
Burger King India Limited,12/14/20,60,250,810,,86.64,354.11,68.15,,156.65,115.35,108.4,138.4,138.4,130.67
Net Pix Shorts Digital Media Limited,12/2/20,30,4000,2.7,,,1.67,1.87,,1.77,30.15,30,30.15,30.05,0.17
Gland Pharma Limited,11/20/20,1500,10,6479.55,,6.4,0.51,0.24,,2.06,1701,1701,1850,1820.45,21.36
Equitas Small Finance Bank Ltd,11/2/20,33,450,517.6,,3.91,0.22,2.08,1.84,1.95,31,30.1,33.05,32.75,-0.76
Shine Fashions (India) Ltd,11/2/20,40,3000,1.6,,,1.83,1.63,,1.73,40.5,38.5,40.5,39.55,-1.13
Bodhi Tree Multimedia Ltd,10/21/20,95,1200,3.71,,,1.44,1.76,,1.6,95,94,97.5,95.8,0.84
Veer Global Infraconstruction Limited,10/19/20,28,4000,4.92,,,1.84,1.18,,1.51,31,29.45,31,29.5,5.36
Sigma Solve Limited,10/19/20,45,3000,4.95,,,1.09,2.09,,1.59,46,45.1,46,45.1,0.22
Atal Realtech Ltd,10/15/20,72,1600,10.83,,,1.99,0.4,,1.2,70.2,66.7,70.2,66.7,-7.36
Likhitha Infrastructure Ltd,10/15/20,120,125,61.2,,21.99,1.54,23.71,,9.51,130.1,125,136.6,136.6,13.83
G M Polyplast Limited,10/14/20,159,800,8.09,,,2.13,1.07,,1.6,160,153.2,168,167.5,5.35
AAA Technologies Limited,10/13/20,42,3000,10.23,,,2.47,2.31,,2.39,44.5,42.3,44.6,43.6,3.81
Mazagon Dock Shipbuilders Limited,10/12/20,145,103,443.69,,89.71,678.88,35.63,3.88,157.41,216.25,173,216.65,173,19.31
UTI Asset Management Company Ltd,10/12/20,554,27,2159.88,,3.34,0.93,2.32,1.34,2.31,490.25,471.1,530,476.6,-13.97
Atam Valves Ltd,10/6/20,40,3000,4.5,,,2.48,3.35,,2.91,40,38,40,39.05,-2.38
Angel One Ltd,10/5/20,306,49,600,,5.74,0.69,4.31,,3.94,275,256.6,296.45,275.85,-9.85
SecMark Consultancy Limited,10/1/20,135,1000,15.04,,,1.12,1.35,,1.24,134,127.3,134,127.3,-5.7
Chemcon Speciality Chemicals Limited,10/1/20,340,44,318,,113.54,449.14,41.15,,149.3,730.95,584.8,743.8,584.8,72
Computer Age Management Services Ltd,10/1/20,1230,12,2244.33,,73.18,111.85,5.54,1.16,46.99,1518,1306.2,1550,1401.6,13.95
Advait Infratech Limited,9/28/20,51,2000,6.89,,,1.53,2.32,,1.92,51.95,51.25,54.5,51.55,1.08
Route Mobile Ltd,9/21/20,350,40,600,,89.76,192.81,12.67,,73.3,708,625,735,651.1,86.03
Happiest Minds Technologies Ltd,9/17/20,166,90,702.02,,77.43,351.46,70.94,,150.98,351,351,395,371,123.49
Trekkingtoes.com Ltd,8/28/20,105,1200,4.54,,,0.29,2.8,,1.55,105,99.75,105,99.75,-5
Suratwwala Business Group Ltd,8/13/20,15,8000,6.9,83,,2.35,0.28,,1.31,15.45,15.45,16.22,16.22,8.13
Mindspace Business Parks,8/7/20,275,200,4500,,10.61,15.51,,,12.96,304,299,308.9,303.87,10.5
Yes Bank Ltd,7/27/20,12,1000,15000,,1.9,0.63,0.47,0.32,0.93,12.3,12.3,12.3,12.3,2.5
Rossari Biotech Ltd,7/23/20,425,35,496.49,33.81,85.26,239.83,7.23,,79.37,670,663.55,804,742.35,74.67
Bonlon Industries Ltd,7/13/20,28,4000,10.52,7.39,,2.51,0.21,,1.36,21,21,21.5,21.5,-23.21
Ksolves India Ltd,7/6/20,100,1200,4.02,,,2.22,0.62,,1.42,101.95,101.95,106.9,106.9,6.9
Billwin Industries Ltd,6/30/20,37,3000,2.46,264,,2.15,0.58,,1.37,36.9,36.9,38.2,37.1,0.27
Nirmitee Robotics India Ltd,4/21/20,185,600,3.24,185,,1.67,0.63,,1.15,189,187,189,189,2.16
Laxmi Goldorna House Ltd,4/16/20,15,8000,8.28,39,,2.22,0.2,,1.21,15,14.65,15.1,15,0
DJ Mediaprint & Logistics Ltd,4/13/20,20,6000,2.4,8.5,,1.95,1.71,,1.83,20.6,20,21.6,20.8,4
Cospower Engineering Ltd,3/30/20,51,2000,2.04,23,,2.36,0.69,,1.53,51,51,53.1,53.1,4.12
RO Jewels Ltd,3/25/20,36,3000,4.91,34,,1.95,0.43,,1.19,36,36,36,36,0
SBI Cards and Payment Services Ltd,3/16/20,755,19,10354.77,45.8,57.18,45.23,2.5,4.74,26.54,658,658,755,683.2,-9.51
SM Auto Stamping Ltd,3/16/20,18,8000,6.91,300,,2.21,0.47,,1.34,18,18,18,18,0
ICL Organic Dairy Products Ltd,2/17/20,20,6000,4.08,80,,3.56,2.59,,3.08,20.8,19.8,21.8,21.8,9
Chandra Bhagat Pharma Ltd,2/14/20,51,2000,10.2,51,,1.87,1.44,,1.65,51.7,51,52.1,51.75,1.47
Madhav Copper Ltd,2/6/20,102,1200,25.5,53,,1.72,1.77,,1.74,102,98.1,102,99.75,-2.21
Janus Corporation Ltd,2/6/20,50,3000,8,57,,1.03,1.48,,1.26,50.7,48.2,50.7,48.5,-3
Tranway Technologies Ltd,2/5/20,10,10000,4.24,90,0,1.09,2.87,,1.98,11.1,11.1,11.65,11.65,16.5
HindPrakash Industries Ltd,1/27/20,40,3000,11.52,11.7,,2.96,1.37,,2.16,40.7,40.7,42.7,41.3,3.25
Vaxtex Cotfab Limited,1/13/20,24,6000,3.83,,,1.75,3.97,,2.86,24.1,23.3,25,24.8,3.33
Gian Life Care Limited,1/13/20,22,6000,3.12,21.36,,1.91,0.78,,1.34,22,22,22.05,22,0
Valencia Nutrition Ltd,1/6/20,46,3000,7.23,,,2.53,0.58,,1.56,46.45,46.35,48.75,46.95,2.07
Prince Pipes and Fittings Ltd,12/30/19,178,84,500,18.35,3.54,1.21,1.89,,2.21,160,152.6,177.95,166.6,-6.4
DC Infotech and Communication Ltd,12/27/19,45,3000,10.8,7.4,,1.39,1.76,,1.56,45.5,45,45.5,45.2,0.44
Ujjivan Small Finance Bank Ltd,12/12/19,37,400,750,,110.72,473,48.97,,165.66,58,53.1,62.8,55.9,51.08
Ascom Leasing & Investments Ltd,12/6/19,30,4000,6.32,,,1.92,1.03,,1.47,30.25,30.25,30.6,30.25,0.83
CSB Bank Limited,12/4/19,195,75,409.68,,62.18,164.68,44.46,,86.91,275,275,307,300.1,53.9
Mangalam Global Enterprise Limited,11/27/19,51,2000,21.57,,,2.09,0.47,,1.28,53,51.5,55.65,51.5,0.98
Anuroop Packaging Ltd,11/21/19,13,10000,2.64,,,3.82,7.05,,5.44,13.25,13.25,13.91,13.91,7
Vishwaraj Sugar Industries Ltd,10/15/19,60,240,60,,1,1.76,0.64,,1.12,61.2,60.25,61.2,60.35,0.58
Sona Hi Sona Jewellers (Gujarat) Ltd,10/15/19,10,10000,4.5,,,1.74,0.69,,1.21,11.15,10.6,11.4,11.4,14
Gensol Engineering Limited,10/15/19,83,1600,17.93,,,2.27,0.37,,1.32,85.4,83.5,89.5,86.25,3.92
Goblin India Limited,10/15/19,52,2000,15.2,,,1.87,0.87,,1.37,55,54.1,57.7,56.6,8.85
IRCTC Limited,10/14/19,320,40,645.12,,108.79,354.52,14.83,5.81,111.91,644,625,743.8,728.6,127.69
Galactico Corporate Services Ltd,10/9/19,23,6000,3.7,,,1.76,0.56,,1.16,23.2,23.05,23.2,23.05,0.22
Misquita Engineering Ltd,10/4/19,27,4000,1.93,,,2.52,0.72,,1.62,27.85,27.85,29.2,29.2,8.15
Shiv Aum Steels Ltd,10/1/19,44,3000,15.84,,,2.26,0.43,,1.34,44.25,44.1,44.6,44.15,0.34
Novateor Research Laboratories Ltd,9/13/19,24,6000,4.49,,,1.8,0.67,,1.24,24,24,25.2,24.15,0.62
Salasar Exteriors and Contour Ltd,9/12/19,36,3000,8.5,,,2.1,0.2,,1.15,36,36,36,36,0
Alphalogic Techsys Ltd,9/5/19,84,1600,6.18,,,1.96,0.53,,1.18,83,83,84.4,84.35,0.42
Transpact Enterprises Ltd,9/5/19,130,1000,1.35,,,0.9,1.37,,1.13,132.5,131,132.5,131,0.77
Sterling and Wilson Solar Ltd,8/20/19,780,19,3145.16,,1.02,0.89,0.3,,0.85,700,691,755.5,725.35,-7.01
Spandana Sphoorty Financial Ltd,8/19/19,856,17,1202.34,,3.11,0.55,0.09,,1.05,824,690,865,848.4,-0.89
Affle (India) Limited,8/8/19,745,20,459,,55.31,198.69,10.94,,86.48,929.9,751.05,958.3,875.1,17.46
Wonder Fibromats Limited,8/6/19,89,1600,19.79,,,2.19,0.33,,1.26,93,89,93,89.05,0.06
SK International Export Limited,7/15/19,20,6000,3.96,,,1.97,0.54,,1.26,19.2,19.2,20,20,0
A B Infrabuild Limited,7/12/19,29,4000,12.84,,,1.2,0.74,,0.97,29,28.5,29.5,29.15,0.52
City Pulse Multiplex Limited,7/11/19,30,4000,3.98,,,2.67,3.33,,3,28.5,28,29.9,29.65,-1.17
SBC Exports Limited,7/4/19,22,6000,6.56,,,1.94,0.78,,1.36,22,22,23.1,23.1,5
IndiaMART InterMESH Limited,7/4/19,973,15,475.59,,30.83,62.13,14.07,6.06,36.21,1180,1180,1339,1302.55,33.87
Earum Pharmaceuticals Limited,7/4/19,36,3000,6.65,,,1.72,1.48,,1.6,36,36,36.15,36.05,0.14
Anand Rayons Limited,7/2/19,27,4000,12.66,,,1.86,0.48,,1.17,28.25,27.05,28.25,27.2,0.74
Parshva Enterprises Limited,7/1/19,45,3000,3.65,,,1.65,0.74,,1.2,45.85,45.3,48.1,46,2.22
Meera Industries Limited,6/26/19,225,500,11.75,,,1.99,0.33,,1.16,222.5,216,222.5,221.9,-1.38
Suich Industries Limited,6/13/19,75,1600,30.86,,,1.32,1.47,,1.39,68.5,65.1,71.9,71.35,-4.87
Cian Healthcare Limited,5/23/19,61,2000,37.92,,,1.91,0.59,,1.25,62,58.9,62.9,61.5,0.82
Par Drugs and Chemicals Limited,5/16/19,51,2000,8.53,,,3.48,7.97,1,5.74,52.9,50.3,52.9,50.45,-1.08
Artemis Electricals Limited,5/14/19,60,2000,42,,,1.67,0.45,,1.06,70,67,70,69.85,16.42
Evans Electric Limited,5/13/19,52,2000,1.93,,,2.63,0.56,,1.59,52.2,52.2,54.8,54.8,5.38
White Organic Retail Limited,5/10/19,63,2000,15.46,,,2.02,0.7,,1.36,64.2,64,64.45,64.3,2.06
G. K. P. Printing & Packaging Limited,5/8/19,32,4000,6.58,,,1.57,1.56,,1.56,34.2,33,35.9,35,9.38
Neogen Chemicals Limited,5/8/19,215,65,132.35,,30.49,113.88,15.86,,41.07,251,250.1,263.55,263.55,22.58
V R Films & Studios Limited,4/30/19,61,2000,2.27,,,1.5,1.56,,1.53,62,58.95,62,60,-1.64
Jinaams Dress Limited,4/25/19,59,2000,42.48,,,1.34,1.08,,1.21,59,56.05,59,56.1,-4.92
Polycab India Limited,4/16/19,538,27,1346,,92.44,110.42,4.5,3.19,51.88,633,633,667.55,655,21.75
Metropolis Healthcare Limited,4/15/19,880,17,1204.29,,8.88,3.03,2.15,0.05,5.83,960,934.8,981.3,959.55,9.04
KHFM Hospitality and Facility Management Services Ltd,4/12/19,36,3000,10.62,,,1.34,1.48,,1.34,36.5,35.95,36.5,36.1,0.28
Rail Vikas Nigam Limited,4/11/19,19,780,481.57,,1.36,0.8,2.92,2.11,1.82,19,18.6,19.75,19.05,0.26
Osia Hyper Retail Limited,4/5/19,252,400,39.78,,,1.66,0.57,,1.12,255,255,267.75,267.6,6.19
Northern Spirits Limited,4/4/19,43,3000,18.5,,,1.83,0.78,,1.3,43.7,41.55,43.7,43.1,0.23
Embassy Office Parks,4/1/19,300,400,4750,,2.15,3.09,,,2.57,300,300,324.5,314.1,4.7
Roopshri Resorts Limited,4/1/19,20,6000,3.6,,,1.42,0.75,,1.09,20.25,20.25,20.25,20.25,1.25
Artedz Fabs Limited,3/29/19,36,3000,8.32,,,1.31,1.78,,1.54,40,39,42,41.65,15.69
MSTC Limited,3/29/19,120,90,212.04,,1.13,2.15,2.95,1.54,1.46,111,110.05,116.55,114.2,-4.83
Humming Bird Education Limited,3/28/19,132,1000,2.15,,,1.9,0.91,,1.42,132,132,138.55,132,0
Aartech Solonics Limited,3/27/19,34,4000,7.21,,,2.35,1.64,,2,33.95,33.95,34.9,34.6,1.76
Ashapuri Gold Ornament Limited,3/27/19,51,2000,29.33,,,2.07,0.25,,1.16,50,48,52.45,51,0
Mahip Industries Limited,3/12/19,32,4000,16.63,,,1.53,1.54,,1.54,32,32,33.6,33.6,5
Gleam Fabmat Limited,3/5/19,10,10000,3.12,,,2.74,0.76,,1.75,9,8.55,9,8.55,-14.5
Mindpool Technologies Limited,2/28/19,30,4000,3.6,,,2.53,1.65,,2.09,30,28.5,30,28.5,-5
Kranti Industries Limited,2/28/19,37,3000,8.58,,,1.26,1.31,,1.29,35.25,35.25,37,36.95,-0.14
Jonjua Overseas Limited,2/25/19,10,10000,1.3,,,1.02,1.32,,1.17,12,11.4,12,11.4,14
Anmol India Limited,2/21/19,33,4000,10.23,,,1.56,1.56,,1.56,33.6,33.2,33.75,35.9,8.79
Chalet Hotels Limited,2/7/19,280,53,1641.18,,4.66,1.1,0.03,,1.57,291,250.15,295.3,290.4,3.71
Ritco Logistics Limited,2/7/19,73,1600,48.18,,,1.82,0.96,,1.39,77.4,73.55,77.4,73.55,0.75
Surani Steel Tubes Limited,2/6/19,52,2000,12.92,,,1.7,1.23,,1.55,53.1,50.45,53.25,53.25,2.4
Xelpmoc Design and Tech Limited,2/4/19,66,200,23,,1.24,7.69,2.64,,3.25,57,55.15,59.85,59.85,-9.32
K.P.I. Global Infrastructure Limited,1/22/19,80,1600,39.94,,,12.42,10.24,,11.5,80.8,80.55,82.45,81.3,1.63
Axita Cotton Limited,1/10/19,60,2000,10.51,,,2.4,1.55,,1.98,61,61,64.05,62.1,3.5
Deccan Health Care Limited,12/31/18,100,1200,42.12,,,2.45,0.91,,1.68,108,108,113.4,113.4,13.4
Shankar Lal Rampal Dye-Chem Limited,12/24/18,45,3000,7.29,,,1.83,0.78,,1.3,46.15,46.05,47.1,46.8,4
DRS Dilip Roadlines Limited,12/10/18,75,1600,31.5,,,2.03,0.26,,1.14,75.15,75.1,75.45,75.15,0.2
Diksha Greens Limited,12/5/18,30,4000,13.32,,,1.99,0.07,,1.07,36.2,35.9,36.2,35.9,19.67
Shubhlaxmi Jewel Art Limited,12/4/18,26,4000,6.51,,,3.03,5.41,,4.22,27.1,27.1,27.8,27.2,4.62
Roni Households Limited,12/3/18,20,6000,3,,,0.48,1.76,,1.12,20.05,20.4,20.5,20.5,2.5
Shree Krishna Infrastructure Limited,12/3/18,13,10000,1.17,,,1.33,4.49,,2.93,12.35,12.35,12.35,12.35,-5
BCPL Railway Infrastructure Limited (BRIL),10/29/18,35,4000,17.01,,,2.16,0.48,,1.32,37,36.3,37.8,36.3,3.71
Ahlada Engineers Ltd,10/27/18,150,1000,51.08,,1.44,2.64,3.19,,2.35,141,134.4,134.4,136,-9.33
Ultra Wiring Connectivity Systems Limited,10/26/18,35,4000,4.82,,,2.11,1.76,,1.94,33.1,31.5,34,33.2,-5.14
Veeram Infra Engineering Limited Limited (VIEL),10/23/18,51,2000,10.74,,,1.62,0.75,,1.19,53,48.75,51.25,51.25,0.49
Iris Clothings Limited,10/23/18,90,1600,11.07,,,2.01,0.27,,1.14,92,89,92,90,0
S. M. Gold Limited,10/19/18,30,4000,7.5,,,1.97,0.23,,1.1,30.6,28.6,30.6,28.6,-4.67
Sun Retail Limited,10/16/18,23,6000,10.12,,,2.36,0.85,,1.61,36,36,37.8,37.8,64.35
B&B Triplewall Containers Limited,10/15/18,36,3000,19.99,,,1.88,0.28,,1.09,37.8,36.2,39.5,39.5,9.72
AKI India Limited,10/12/18,11,10000,3.08,,,2.14,0.99,,1.56,11.05,11.05,11.55,11.55,5
Shubham Polyspin Limited,10/12/18,40,3000,6,,,2.27,3.64,,2.95,41.8,41.75,43.85,43.85,9.63
Marine Electricals (India) Limited,10/11/18,66,2000,42.87,,,2.04,0.43,,1.23,66.6,66.5,66.9,66.6,0.91
Vinny Overseas Limited,10/11/18,40,3000,10.38,,,1.97,1.24,,1.61,40.5,40.5,42.5,42.4,6
Dolfin Rubbers Limited,10/10/18,26,4000,5.2,,,1.82,0.68,,1.25,27.5,27,27.6,27.05,4.04
A-1 Acid Limited,10/10/18,60,2000,18,,,2.37,1.25,,1.81,61,61,62,61.25,2.08
Kritika Wires Limited,10/10/18,32,4000,15.4,,,3.45,0.52,,1.99,34.1,32.75,34.1,33.7,5.31
Garden Reach Shipbuilders & Engineers Limited,10/10/18,118,120,344.69,,1.81,0.31,0.24,0.14,1.02,104,95.35,109.5,105.1,-10.93
Silgo Retail Limited,10/10/18,36,3000,4.88,,,1.96,0.5,,1.23,36.45,36.1,36.25,36.1,0.28
Parin Furniture Limited,10/9/18,63,2000,18.9,,,2.08,2.62,,2.45,64,63,66,64.9,3.02
Rajnandini Metal Limited,10/8/18,26,4000,4.27,,,2.38,0.38,,1.38,35,33.25,35,33.25,27.88
Aavas Financiers Limited,10/8/18,821,18,1734.07,,2.77,0.26,0.25,,0.97,758,710,787.5,773.15,-5.83
Kshitij Polyline Limited,10/8/18,35,4000,8.75,,,1.88,1.02,,1.45,34.5,34.5,35.95,35.95,2.71
Innovative Ideals and Services (India) Limited,10/5/18,40,3000,12.26,,,1.01,1.58,,1.3,43,40.9,45.15,45.15,12.88
Manorama Industries Limited,10/4/18,188,600,64,,1.56,1.59,0.37,,1.08,190.2,180,187.25,183.65,-2.31
Sky Gold Limited,10/4/18,180,,25.56,,,1.23,0.94,,1.08,181,180.25,181,180.45,0.25
Mac Hotels Limited,10/4/18,24,6000,1.94,,,1.88,1.17,,1.52,24.6,24.6,25.8,25.8,7.5
Spectrum Electrical Industries Limited,10/1/18,65,2000,25.87,,,1.99,0.56,,1.27,64.5,63.25,66.5,65.5,0.77
IRCON International Limited,9/28/18,475,30,470.49,,12.29,4.92,9.66,0.36,9.77,410.3,410.3,464.4,416.65,-12.28
Ranjeet Mechatronics Limited,9/26/18,25,6000,4.5,,,77.48,62.03,,69.75,27.5,27.5,28.85,28.85,15.4
Akg Exim Limited,9/25/18,31,4000,5.52,,,1.99,0.37,,1.18,32.25,31.5,32.25,32,3.23
Rajshree Polypack Limited,9/24/18,120,1000,35.52,,3.61,13.43,2.92,,5.36,111.05,105.7,116.6,116.6,-2.83
Synergy Green Industries Limited,9/21/18,70,2000,26.46,,,1,0.36,,1.13,76,76,81.9,81.9,17
Lagnam Spintex Limited,9/18/18,41,3000,24.6,,,3.86,5.65,,4.97,41,38.95,41,38.95,-5
Sumit Woods Limited,9/10/18,45,3000,18.24,,,10.6,1.7,,6.41,47,47,48.9,47.95,6.56
Add-Shop Promotions Limited,9/10/18,26,4000,6.23,,,1.64,0.98,,1.31,28.2,28.05,29,28.7,10.38
Marshall Machines Limited,9/7/18,42,3000,16.25,,,2.92,1.2,,2.25,37.45,35.3,39.3,39.3,-6.43
Supreme Engineering Ltd,9/6/18,27,4000,17.78,,,1.4,1,,1.2,27.1,26,27.8,27.55,2.04
Dangee Dums Limited,9/3/18,74,1600,20.07,,,104.01,23.85,,63.98,89.9,89.5,94.35,94.35,27.5
Aaron Industries Limited,9/3/18,38,3000,4.78,,,3.26,2.65,,2.99,36.1,36.1,39.6,38.7,1.84
Powerful Technologies Limited,8/28/18,51,2000,13.55,,,1.52,1.09,,1.3,48,45.6,48,45.6,-10.59
Sungold Media and Entertainment Limited,8/27/18,10,10000,1.35,,,1.86,2.17,,2.02,9.75,9.5,10.25,9.71,-2.9
CreditAccess Grameen Limited,8/23/18,422,35,1131.19,,5.52,0.98,0.87,,2.22,385,385,423.3,420.8,-0.28
Deep Polymers Limited,8/23/18,40,3000,15.24,,,2.3,0.48,,1.39,41.9,40.8,42,40.9,2.25
Saketh Exim Limited,8/13/18,69,2000,9.44,,,1.77,0.84,,1.3,69.3,69.1,69.45,69.4,0.58
HDFC Asset Management Company Limited,8/6/18,1100,13,2800.33,,192.26,195.15,6.57,1.51,82.99,1739,1730,1842.95,1815.15,65.01
Ushanti Colour Chem Limited,8/2/18,60,2000,11.56,,,5.71,6.73,,6.24,64.2,64.2,67.4,67.4,12.33
Ganesh Films India Limited,7/31/18,80,1600,8.42,,,1.06,1.13,,1.1,80,80,83,82,2.5
TCNS Clothing Co. Limited,7/30/18,716,20,1125.13,,13.47,5.08,0.57,,5.22,715,626.6,724.5,657.8,-8.13
TCNS Clothing Co. Limited,7/30/18,716,20,1125.13,,13.47,5.08,0.57,,5.22,715,626.6,724.5,657.8,-8.13
Avon Moldplast Limited,7/26/18,51,2000,4.51,,,2.24,0.4,,1.38,52,49.5,51.5,51.65,1.27
Ambani Organics Limited,7/18/18,66,2000,9.03,,,1.91,0.97,,1.36,66.65,66.2,67,66.65,0.98
Raw Edge Industrial Solutions Ltd,7/18/18,72,1600,16.5,,,1.41,0.78,,1.1,72.1,71.8,72.7,72.4,0.56
Rudrabhishek Enterprises Limited,7/13/18,41,3000,18.73,,,1.81,0.52,,1.17,41.25,40.1,42,41.7,1.71
Jakharia Fabric Limited,7/11/18,180,800,19.66,,,1.82,0.6,,1.21,181.35,180.75,182.45,181.5,0.83
